Case Number,Date,Type,Country,Area,Location,Fatal (Y/N),Time,Period,Activity Type,Species Type,Exact Location,Coordinate,Latitude,Longitude
2021.10.04.b,Oct-2021,Unprovoked,United States,Florida,"Jensen Beach, Martin County",N,12h00,Afternoon,Swimming,Unknown,"Jensen Beach, Martin County, Florida, United States","(27.2544906, -80.22976969999999)",27.2544906,-80.22976969999999
2021.10.04,Oct-2021,Unprovoked,United States,Florida,"Fort Pierce State Park, St. Lucie County",N,Unknown,Unknown,Surfing,Unknown,"Fort Pierce State Park, St. Lucie County, Florida, United States","(27.3964635, -80.3266903)",27.3964635,-80.3266903
2021.10.03.a,Oct-2021,Unprovoked,United States,California,"Salmon Creek Beach, Sonoma County",N,09h00,Morning,Surfing,Unknown,"Salmon Creek Beach, Sonoma County, California, United States","(38.3592396, -123.0682435)",38.3592396,-123.0682435
2021.09.10,Sep-2021,Not Confirmed,Egypt,Sidi Abdel Rahmen,Sidi Abdel Rahmen,U,Unknown,Unknown,Swimming,Unknown,"Sidi Abdel Rahmen, Sidi Abdel Rahmen, Egypt","(30.9689002, 28.7362599)",30.9689002,28.7362599
2021.09.09,Sep-2021,Unprovoked,United States,Florida,"Ponce Inlet, Volusia County",N,13h20,Afternoon,Surfing,Unknown,"Ponce Inlet, Volusia County, Florida, United States","(29.0963729, -80.9369983)",29.0963729,-80.9369983
2021.09.05,Sep-2021,Unprovoked,Australia,New South Wales,Emerald Beach,Y,10h30,Morning,Surfing,White,"Emerald Beach, New South Wales, Australia","(-30.1691878, 153.1851011)",-30.1691878,153.1851011
2021.09.03.b,Sep-2021,Unprovoked,Turks & Caicos,Turks & Caicos,Turks and Caicos,N,Unknown,Unknown,Unknown,Unknown,"Turks and Caicos, Turks & Caicos, Turks & Caicos","(21.694025, -71.797928)",21.694025,-71.797928
2021.09.03,Sep-2021,Unprovoked,United States,Louisiana,Grand Isle,N,14h00,Afternoon,Fishing,Unknown,"Grand Isle, Louisiana, United States","(29.2366172, -89.9872941)",29.2366172,-89.9872941
2021.08.28,Aug-2021,Unprovoked,United States,Texas,"Galveston Island, Galveston County",N,11h45,Morning,Surfing,Unknown,"Galveston Island, Galveston County, Texas, United States","(29.241005, -94.90913289999999)",29.241005,-94.9091329
2021.08.21,Aug-2021,Unprovoked,United States,Florida,"Walton Beach Psrk, St. Lucie County",N,06h40,Morning,Surfing,Bull,"Walton Beach Psrk, St. Lucie County, Florida, United States","(27.2988492, -80.279147)",27.2988492,-80.279147
2021.08.13,Aug-2021,Unprovoked,Canada,Nova Scotia,Cape Breton Island,N,`17h00,Afternoon,Swimming,Unknown,"Cape Breton Island, Nova Scotia, Canada","(46.2486851, -60.851817)",46.2486851,-60.851817
2021.08.07.c,Aug-2021,Provoked,Australia,Queensland,North Stradbroke Island,N,Unknown,Unknown,Unknown,Unknown,"North Stradbroke Island, Queensland, Australia","(-27.468799, 153.4278948)",-27.468799,153.4278948
2021.08.07.b,Aug-2021,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",N,10h00,Morning,Surfing,Unknown,"New Smyrna Beach, Volusia County, Florida, United States","(29.0258191, -80.9269984)",29.0258191,-80.9269984
2021.08.03,Aug-2021,Unprovoked,United States,South Carolina,"Hilton Head Island, Beaufort County",N,11h46,Morning,Unknown,Blacktip,"Hilton Head Island, Beaufort County, South Carolina, United States","(32.216316, -80.752608)",32.216316,-80.752608
2021.08.02,Aug-2021,Unprovoked,United States,Maryland,Ocean City,N,15h00,Afternoon,Swimming,Blacktip,"Ocean City, Maryland, United States","(38.3365032, -75.0849058)",38.3365032,-75.0849058
2021.07.30,Jul-2021,Provoked,United States,Florida,"Ponce Inlet, Volusia County",N,11h00,Morning,Fishing,Unknown,"Ponce Inlet, Volusia County, Florida, United States","(29.0963729, -80.9369983)",29.0963729,-80.9369983
2021.07.27.c,Jul-2021,Unprovoked,United States,North Carolina,Wrightsville Beach,N,13h30,Afternoon,Surfing,Unknown,"Wrightsville Beach, North Carolina, United States","(34.2085036, -77.7963709)",34.2085036,-77.7963709
2021.07.27.b,Jul-2021,Unprovoked,United States,Georgia,"Tybee Island, Chatham County",N,Unknown,Unknown,Surfing,Blacktip,"Tybee Island, Chatham County, Georgia, United States","(32.0002152, -80.845666)",32.0002152,-80.845666
2021.07.27.a,Jul-2021,Provoked,Australia,Western Australia,Varanus Island,N,20h30,Evening,Fishing,Lemon,"Varanus Island, Western Australia, Australia","(-20.6516843, 115.5784701)",-20.6516843,115.5784701
2021.07.26,Jul-2021,Unprovoked,United States,New York,"Jones Beach, Nassau County",N,11h00,Morning,Swimming,Unknown,"Jones Beach, Nassau County, New York, United States","(40.6106158, -73.4445392)",40.6106158,-73.4445392
2021.07.25,Jul-2021,Unprovoked,Brazil,Pernambuco,Piedade,N,Unknown,Unknown,Unknown,Unknown,"Piedade, Pernambuco, Brazil","(-8.1801557, -34.9203383)",-8.1801557,-34.9203383
2021.07.23b,Jul-2021,Unprovoked,United States,California,"Capitola Beach, Santa Cruz County",N,Unknown,Unknown,Surfing,Unknown,"Capitola Beach, Santa Cruz County, California, United States","(36.9716173, -121.9516263)",36.9716173,-121.9516263
2021.07.23,Jul-2021,Provoked,Thailand,Chanthaburi Province,Kung Krabaenbay Royal Département Study Center,N,Unknown,Unknown,Unknown,Bull,"Kung Krabaenbay Royal Département Study Center, Chanthaburi Province, Thailand","(12.61134, 102.1038546)",12.61134,102.1038546
2021.07.21,Jul-2021,Not Confirmed,United States,Florida,"Patrick AFB, Brevard County",N,12h23,Afternoon,Unknown,Unknown,"Patrick AFB, Brevard County, Florida, United States","(28.2394645, -80.60751719999999)",28.2394645,-80.60751719999999
